面积,价格,格局,楼层,朝向,装修,年建,板楼塔楼,所在区域,电梯有无,房屋年限,交易权限,房型
53.33平米,408万,2室1厅,顶层/共5层,南 北,平层/精装,1979年建,板楼,东城  陶然亭 二至三环 近14号线东段永定门外站,无,满五年,商品房,2室1厅1厨1卫
88.89平米,535万,2室1厅,低楼层/共14层,南,平层/简装,2004年建,板塔结合,丰台  赵公口 三至四环 近10号线石榴庄站,有,满五年,商品房,2室1厅1厨1卫
72.13平米,323万,2室2厅,低楼层/共7层,南 北,平层/精装,1996年建,板楼,大兴  郁花园 五至六环 近4号线大兴线高米店北站,无,满两年,商品房,2室2厅1厨1卫
274.81平米,1280万,3室2厅,共2层,南 北,复式/简装,2003年建,暂无数据,顺义  中央别墅区 五至六环 近15号线国展站,暂无数据,满五年,商品房,3室2厅1厨3卫
59.53平米,302万,2室1厅,高楼层/共6层,南 北,平层/简装,1982年建,板楼,朝阳  管庄 五至六环,无,满五年,已购公房,2室1厅1厨1卫
89.66平米,719万,2室1厅,高楼层/共15层,南,平层/简装,2008年建,板楼,朝阳  芍药居 三至四环,有,满两年,二类经济适用房,2室1厅1厨1卫
105.34平米,420万,4室2厅,高楼层/共7层,南 北,复式/精装,1996年建,板楼,朝阳  常营 五至六环,无,满五年,已购公房,4室2厅1厨2卫
57.69平米,522万,2室1厅,顶层/共5层,南 北,平层/精装,1976年建,板楼,东城  和平里 二至三环 近5号线和平里北街站,无,满五年,商品房,2室1厅1厨1卫
139.74平米,588万,3室2厅,中楼层/共6层,南 西 北,平层/简装,2003年建,板楼,昌平  回龙观 五至六环 近13号线回龙观站,无,满五年,一类经济适用房,3室2厅1厨2卫
81.8平米,649万,3室1厅,中楼层/共16层,西南,平层/精装,1990年建,塔楼,海淀  定慧寺 三至四环,有,满两年,商品房,3室1厅1厨1卫
134.61平米,580万,4室2厅,高楼层/共9层,南 北,复式/精装,2004年建,板塔结合,通州  玉桥 五至六环,有,满五年,商品房,4室2厅1厨2卫
71.97平米,748万,2室1厅,中楼层/共12层,南 北,平层/精装,1999年建,板塔结合,西城  天宁寺 二至三环 近7号线达官营站,有,满五年,已购公房,2室1厅1厨1卫
79.38平米,352万,3室1厅,中楼层/共6层,南 北,平层/精装,1986年建,板楼,石景山  苹果园 五至六环 近6号线金安桥站,无,满五年,商品房,3室1厅1厨1卫
208.57平米,1260万,4室2厅,下叠别墅/共5层,南 北,跃层/精装,2013年建,暂无数据,通州  潞苑 五至六环,自供暖,满两年,商品房,4室2厅1厨3卫
122.34平米,785万,3室2厅,高楼层/共20层,南 北,平层/精装,2011年建,板塔结合,丰台  玉泉营 三至四环,有,满五年,商品房,3室2厅1厨2卫
264.61平米,1130万,5室2厅,高楼层/共14层,南 北,跃层/精装,2002年建,板楼,朝阳  北苑 五至六环,有,满五年,商品房,5室2厅1厨3卫
209.14平米,1870万,4室2厅,中楼层/共5层,北 南,复式/精装,2002年建,板楼,朝阳  奥林匹克公园 四至五环 近8号线林萃桥站,无,满五年,商品房,4室2厅1厨3卫
256.59平米,1400万,5室3厅,顶层/共4层,南 北,复式/精装,2016年建,板楼,大兴  亦庄 五至六环,有,满两年,商品房,5室3厅1厨7卫
121.4平米,439万,3室1厅,底层/共14层,南 西 北,平层/精装,2001年建,板塔结合,昌平  天通苑 五至六环,有,满五年,商品房,3室1厅1厨2卫
161.01平米,555万,4室2厅,底层/共6层,南 北,平层/简装,2003年建,板楼,大兴  高米店南 五至六环 近4号线大兴线高米店南站,无,满两年,商品房,4室2厅1厨2卫
57.1平米,518万,3室1厅,低楼层/共6层,南 北,平层/精装,1988年建,板楼,海淀  紫竹桥 三至四环 近6号线慈寿寺站,无,满两年,商品房,3室1厅1厨1卫
75.9平米,868万,3室1厅,底层/共4层,南 北,平层/精装,1980年建,板楼,西城  月坛 二至三环 近2号线阜成门站,无,满五年,已购公房,3室1厅1厨1卫
126.77平米,375万,3室1厅,中楼层/共6层,南 北,平层/简装,2003年建,板楼,大兴  科技园区 四至五环,无,满五年,商品房,3室1厅1厨2卫
46.12平米,306万,2室1厅,中楼层/共16层,南 北,复式/精装,2013年建,板塔结合,大兴  枣园 五至六环,有,满五年,商品房,2室1厅1厨2卫
121.02平米,496万,3室1厅,底层/共6层,南 北,平层/简装,2000年建,板楼,昌平  天通苑 五至六环,无,满五年,商品房,3室1厅1厨2卫
111.14平米,995万,2室2厅,底层/共9层,南 北,平层/精装,2007年建,板楼,海淀  四季青 三至四环,有,满五年,商品房,2室2厅1厨2卫
131.71平米,1096万,3室1厅,中楼层/共9层,南 北,平层/精装,2003年建,板楼,朝阳  大望路 三至四环 近7号线九龙山站,有,满两年,商品房,3室1厅1厨2卫
61.28平米,312万,2室1厅,顶层/共6层,南 北,平层/精装,1998年建,板楼,丰台  马家堡 三至四环 近4号线大兴线角门西站,无,满五年,商品房,2室1厅1厨1卫
101.42平米,660万,1室2厅,高楼层/共23层,西南,错层/精装,2005年建,塔楼,朝阳  亚运村 四至五环 近15号线安立路站,有,满五年,商品房,1室2厅1厨2卫
90.67平米,598万,2室1厅,中楼层/共9层,南 北,平层/精装,2008年建,板楼,海淀  西三旗 五至六环,有,满五年,商品房,2室1厅1厨2卫
79.7平米,670万,3室1厅,高楼层/共6层,南 北,平层/精装,1983年建,板楼,海淀  五道口 四至五环 近13号线五道口站,无,满五年,已购公房,3室1厅1厨1卫
104.99平米,875万,3室1厅,中楼层/共22层,东南,平层/精装,2005年建,板塔结合,朝阳  双井 三至四环,有,满五年,商品房,3室1厅1厨1卫
122.15平米,1220万,3室2厅,中楼层/共26层,东南,平层/精装,2004年建,板塔结合,朝阳  双井 二至三环 近7号线双井站,有,满五年,商品房,3室2厅1厨2卫
90.04平米,530万,2室1厅,低楼层/共24层,东南,平层/简装,2004年建,塔楼,朝阳  高碑店 四至五环 近八通线高碑店站,有,满五年,商品房,2室1厅1厨1卫
105.5平米,485万,2室1厅,中楼层/共6层,南 北,平层/精装,2005年建,板楼,通州  九棵树(家乐福) 五至六环,无,满五年,商品房,2室1厅1厨1卫
60.9平米,650万,2室1厅,底层/共14层,东,平层/精装,1985年建,板塔结合,西城  官园 二环内 近2号线车公庄站,有,满五年,已购公房,2室1厅1厨1卫
81.86平米,439万,2室1厅,低楼层/共11层,南 西 北,平层/精装,2004年建,板楼,朝阳  管庄 五至六环,有,满五年,商品房,2室1厅1厨1卫
90.28平米,513万,2室1厅,中楼层/共16层,南 北,平层/精装,1999年建,板塔结合,丰台  草桥 三至四环 近10号线草桥站,有,满五年,已购公房,2室1厅1厨1卫
117.88平米,497万,3室2厅,低楼层/共9层,南 北,平层/简装,2010年建,板楼,大兴  旧宫 四至五环 近8号线南段五福堂站,有,满五年,商品房,3室2厅1厨1卫
116.48平米,464万,3室1厅,中楼层/共7层,南 北,平层/简装,2003年建,板楼,昌平  回龙观 五至六环 近8号线育知路站,无,满五年,商品房,3室1厅1厨1卫
128.02平米,430万,3室2厅,高楼层/共11层,南 北,平层/简装,2009年建,板塔结合,顺义  马坡 六环外,有,满五年,商品房,3室2厅1厨2卫
65.28平米,520万,2室1厅,中楼层/共6层,南 北,平层/简装,1997年建,板楼,朝阳  望京 四至五环 近15号线望京站,无,满五年,商品房,2室1厅1厨1卫
63.93平米,678万,2室2厅,底层/共6层,南 北,平层/精装,1998年建,板楼,东城  工体 二至三环 近2号线东直门站,无,满五年,商品房,2室2厅1厨1卫
52.11平米,558万,1室1厅,底层/共7层,南 北,平层/精装,2004年建,板楼,西城  右安门内 二环内,无,满五年,二类经济适用房,1室1厅1厨1卫
45.32平米,220万,2室1厅,中楼层/共4层,北 南,平层/简装,1960年建,板楼,通州  万达 五至六环 近八通线通州北苑站,无,满五年,已购公房,2室1厅1厨1卫
89.59平米,164万,2室2厅,低楼层/共6层,南 北,平层/简装,2004年建,板楼,房山  窦店 六环外,暂无数据,满五年,商品房,2室2厅1厨1卫
175.82平米,1098万,3室2厅,高楼层/共18层,南 北,平层/毛坯,2012年建,板楼,朝阳  常营 五至六环,有,未满两年,商品房,3室2厅1厨3卫
237.89平米,1640万,4室3厅,共4层,南 北,复式/其他,2015年建,板楼,亦庄开发区  亦庄开发区其它 ,集中供暖,未满两年,商品房,4室3厅1厨3卫
57.37平米,518万,2室1厅,底层/共6层,南 北,平层/简装,1986年建,板楼,西城  广安门 二至三环 近7号线达官营站,无,满两年,已购公房,2室1厅1厨1卫
100.73平米,743万,2室2厅,高楼层/共8层,南 北,平层/精装,2008年建,板楼,朝阳  成寿寺 三至四环,有,满两年,商品房,2室2厅1厨1卫
76.19平米,610万,3室1厅,高楼层/共6层,南 西 北,平层/精装,1997年建,板楼,朝阳  望京 四至五环 近15号线望京站,无,满两年,已购公房,3室1厅1厨1卫
68.72平米,325万,2室1厅,中楼层/共14层,东 西,平层/简装,2000年建,板塔结合,丰台  看丹桥 三至四环 近9号线丰台南路站,有,满五年,商品房,2室1厅1厨1卫
99.93平米,730万,3室1厅,中楼层/共24层,南 北,平层/精装,2013年建,板楼,朝阳  常营 五至六环 近6号线常营站,有,满两年,商品房,3室1厅1厨1卫
57.6平米,499万,2室1厅,中楼层/共6层,南 北,平层/简装,1984年建,板楼,海淀  五道口 四至五环 近13号线五道口站,无,满五年,已购公房,2室1厅1厨1卫
103.58平米,538万,2室2厅,中楼层/共5层,南 北,平层/简装,2004年建,板楼,通州  武夷花园 五至六环,无,满五年,商品房,2室2厅1厨2卫
115.71平米,715万,3室1厅,顶层/共24层,西北,平层/简装,2001年建,塔楼,西城  马连道 二至三环,有,满五年,一类经济适用房,3室1厅1厨1卫
220.7平米,1380万,4室2厅,中楼层/共12层,南 北,错层/精装,2002年建,板楼,朝阳  朝阳公园 四至五环,有,满五年,商品房,4室2厅1厨3卫
58.02平米,383万,2室1厅,高楼层/共6层,西 北,平层/简装,1989年建,板楼,海淀  公主坟 二至三环 近10号线莲花桥站,无,满两年,已购公房,2室1厅1厨1卫
66.41平米,339万,1室1厅,底层/共11层,南,平层/毛坯,2010年建,板塔结合,朝阳  常营 五至六环 近6号线常营站,有,满五年,限价商品房,1室1厅1厨1卫
106.87平米,637万,2室1厅,高楼层/共30层,东南,平层/精装,2001年建,塔楼,朝阳  望京 四至五环,有,满五年,商品房,2室1厅1厨2卫
50.6平米,608万,1室1厅,高楼层/共6层,南,平层/简装,1993年建,板楼,西城  阜成门 二至三环 近6号线车公庄西站,无,满五年,已购公房,1室1厅1厨1卫
158.84平米,1300万,3室1厅,低楼层/共16层,西南,平层/精装,2003年建,板塔结合,朝阳  CBD 三至四环,有,满五年,商品房,3室1厅1厨2卫
64.73平米,505万,2室1厅,高楼层/共7层,南 北,平层/精装,1999年建,板楼,海淀  定慧寺 三至四环 近6号线海淀五路居站,无,满五年,商品房,2室1厅1厨1卫
56.87平米,302万,2室1厅,中楼层/共6层,南 北,平层/简装,1993年建,板楼,昌平  霍营 五至六环,无,满两年,商品房,2室1厅1厨1卫
81.07平米,815万,2室1厅,高楼层/共17层,南 北,平层/简装,2004年建,板楼,东城  崇文门 二环内 近5号线磁器口站,有,满五年,商品房,2室1厅1厨1卫
74.97平米,535万,3室1厅,低楼层/共12层,南 北,平层/精装,1992年建,板塔结合,朝阳  甜水园 三至四环 近6号线金台路站,有,满五年,商品房,3室1厅1厨1卫
148.6平米,1290万,3室2厅,低楼层/共22层,西南 东北,平层/精装,2006年建,塔楼,朝阳  三元桥 三至四环 近机场线三元桥站,有,满五年,商品房,3室2厅1厨2卫
142.21平米,1360万,3室1厅,高楼层/共25层,东南,平层/精装,2005年建,板塔结合,朝阳  双井 二至三环,有,满五年,商品房,3室1厅1厨2卫
89.17平米,340万,3室1厅,中楼层/共15层,南 北,平层/简装,2012年建,板楼,房山  长阳 五至六环 近房山线长阳站,有,满两年,商品房,3室1厅1厨1卫
91.2平米,548万,3室2厅,底层/共20层,东 南 西 北,平层/简装,1995年建,塔楼,海淀  马甸 三至四环 近10号线牡丹园站,有,满五年,商品房,3室2厅1厨1卫
70.68平米,316万,2室1厅,中楼层/共6层,南 北,平层/简装,1992年建,板楼,通州  万达 五至六环,无,满两年,商品房,2室1厅1厨1卫
129.74平米,395万,3室2厅,中楼层/共11层,南 北,平层/精装,2012年建,板楼,大兴  天宫院南 六环外,有,满五年,商品房,3室2厅1厨2卫
70平米,395万,2室1厅,中楼层/共11层,东,平层/精装,2007年建,板楼,朝阳  常营 五至六环 近6号线常营站,有,满五年,商品房,2室1厅1厨1卫
66.84平米,442万,2室1厅,低楼层/共22层,西 北,平层/精装,1989年建,塔楼,朝阳  西坝河 二至三环,有,满两年,商品房,2室1厅1厨1卫
71.9平米,539万,2室1厅,高楼层/共20层,西南,平层/精装,2006年建,塔楼,朝阳  朝青 四至五环 近6号线青年路站,有,满五年,商品房,2室1厅1厨1卫
160.51平米,1120万,3室1厅,低楼层/共23层,东南,平层/精装,2005年建,塔楼,朝阳  燕莎 三至四环,有,满两年,商品房,3室1厅2厨2卫
108.86平米,999万,3室2厅,低楼层/共18层,西南,平层/简装,1998年建,塔楼,海淀  甘家口 二至三环 近9号线白堆子站,有,满两年,央产房,3室2厅1厨1卫
98.68平米,430万,2室1厅,中楼层/共6层,南 北,平层/简装,2004年建,板楼,通州  通州北苑 五至六环 近八通线通州北苑站,无,满五年,商品房,2室1厅1厨2卫
118.7平米,468万,2室1厅,中楼层/共14层,南 北,平层/简装,2005年建,板楼,昌平  天通苑 五至六环,有,满五年,商品房,2室1厅1厨2卫
137.66平米,1160万,3室2厅,高楼层/共16层,东 西,复式/简装,2003年建,板楼,东城  东直门 二环内 近2号线东直门站,有,满五年,二类经济适用房,3室2厅1厨2卫
102.08平米,452万,3室1厅,低楼层/共6层,南 北,平层/精装,1998年建,板楼,顺义  顺义城 六环外,无,满五年,商品房,3室1厅1厨1卫
86.5平米,357万,2室1厅,高楼层/共22层,南,平层/简装,2013年建,板楼,朝阳  垡头 四至五环 近7号线双合站,有,满五年,限价商品房,2室1厅1厨1卫
143.17平米,980万,3室1厅,中楼层/共24层,西南,平层/精装,2005年建,塔楼,朝阳  奥林匹克公园 四至五环 近8号线林萃桥站,有,满五年,商品房,3室1厅1厨2卫
125.8平米,685万,3室2厅,中楼层/共9层,南 北,平层/精装,2006年建,板楼,朝阳  酒仙桥 四至五环,有,满五年,商品房,3室2厅1厨2卫
122.09平米,739万,3室2厅,低楼层/共10层,南 北,平层/简装,2007年建,板楼,朝阳  东坝 五至六环,有,满五年,商品房,3室2厅1厨2卫
133.95平米,620万,3室1厅,中楼层/共26层,南 北,平层/简装,2000年建,塔楼,丰台  西罗园 二至三环 近8号线南段木樨园站,有,满五年,商品房,3室1厅1厨2卫
85.73平米,379万,3室1厅,高楼层/共16层,东 南 北,平层/精装,1995年建,塔楼,石景山  苹果园 五至六环 近6号线杨庄站,有,满两年,商品房,3室1厅1厨1卫
105.1平米,726万,2室2厅,高楼层/共9层,南 北,平层/精装,2008年建,板塔结合,朝阳  朝青 四至五环,有,满五年,商品房,2室2厅1厨2卫
91.96平米,890万,3室1厅,中楼层/共16层,南 北,平层/简装,2003年建,板塔结合,东城  朝阳门内 二环内,有,满五年,二类经济适用房,3室1厅1厨1卫
90.63平米,396万,3室1厅,顶层/共28层,西南 北,平层/简装,2009年建,板塔结合,昌平  西三旗 五至六环 近8号线霍营站,有,满五年,限价商品房,3室1厅1厨1卫
128.55平米,569万,3室2厅,高楼层/共22层,西南 北,平层/简装,2002年建,塔楼,丰台  六里桥 三至四环,有,满五年,二类经济适用房,3室2厅1厨2卫
89.35平米,435万,3室1厅,低楼层/共21层,南 北,平层/简装,2010年建,板塔结合,丰台  宋家庄 三至四环 近5号线宋家庄站,有,满五年,一类经济适用房,3室1厅1厨1卫
171.42平米,1790万,3室1厅,低楼层/共33层,东南 西北,平层/精装,2005年建,塔楼,朝阳  东大桥 二至三环 近10号线金台夕照站,有,满五年,商品房,3室1厅1厨2卫
107.19平米,769万,3室2厅,底层/共6层,南 北,平层/精装,2000年建,板楼,朝阳  奥林匹克公园 四至五环,无,满五年,商品房,3室2厅1厨1卫
89.44平米,408万,3室1厅,高楼层/共28层,南 北,平层/简装,2013年建,板楼,门头沟  门头沟其它 六环外,有,满两年,商品房,3室1厅1厨1卫
109.23平米,660万,4室1厅,底层/共4层,南 北,平层/精装,2004年建,板楼,昌平  回龙观 五至六环 近昌平线生命科学园站,无,满五年,商品房,4室1厅1厨1卫
134.49平米,760万,3室1厅,中楼层/共14层,南 北,平层/简装,2005年建,板塔结合,丰台  赵公口 三至四环 近10号线石榴庄站,有,满五年,商品房,3室1厅1厨2卫
